questionText,type,optionA,optionB,optionC,optionD,correctAnswer,hint,explanation
"Trên X-quang thẳng đầu gối, dấu hiệu Joint Space Narrowing thường liên quan đến bệnh lý nào?",MultipleChoice,Viêm khớp dạng thấp (Rheumatoid Arthritis),Thoái hóa khớp (Osteoarthritis),Gút (Gout),Viêm khớp nhiễm trùng (Septic Arthritis),B,"Nhìn vào mức độ hẹp khe khớp để suy luận",Đây là dấu hiệu đặc trưng của thoái hóa khớp, khi sụn khớp mòn dần.
"Đặc điểm X-quang nào giúp phân biệt gãy xương lành tính (Greenstick) với gãy xương thông thường ở trẻ em?",MultipleChoice,"Có nhiều mảnh gãy","Chỉ một bên vỏ xương gãy, bên kia cong gãy",Xương bị di lệch hoàn toàn,Có tổn thương mô mềm kèm theo,B,"Gãy Greenstick chỉ xảy ra ở trẻ em với xương còn mềm","Đây là gãy không hoàn toàn, chỉ một phần xương bị gãy."
"Góc di lệch bao nhiêu độ được coi là chấp nhận được ở người lớn khi gãy xương cánh tay?",MultipleChoice,5-10 độ,15-20 độ,25-30 độ,Dưới 5 độ,B,"Xem xét chức năng vận động sau điều trị","Góc lệch 15-20 độ thường được chấp nhận ở người lớn."
"Dấu hiệu Codman Triangle trên X-quang thường gợi ý bệnh lý ác tính nào của xương?",MultipleChoice,Ung thư xương nguyên phát (Osteosarcoma),U xương lành tính (Osteoid Osteoma),Di căn xương (Bone Metastasis),Bệnh Paget của xương,A,"Một góc tam giác tạo bởi xương và mô mềm","Codman Triangle là dấu hiệu kinh điển của Osteosarcoma."
"Đặc điểm X-quang nào là dấu hiệu đặc trưng của bệnh Perthes ở trẻ em?",MultipleChoice,Đầu xương đùi bị dẹt và teo,Khe khớp rộng bất thường,Có dị vật trong khớp,Xương bị calcification tăng,A,"Bệnh Perthes ảnh hưởng đến đầu xương đùi ở trẻ","Đây là bệnh hoại tử vô mạch đầu xương đùi."
"Tổn thương Egg-shell Appearance trên X-quang là đặc trưng của loại u xương nào?",MultipleChoice,Osteosarcoma,Giant Cell Tumor,Aneurysmal Bone Cyst,Enchondroma,C,"Lớp vỏ mỏng bao quanh tổn thương","Đây là dấu hiệu đặc trưng của Aneurysmal Bone Cyst."
"Trên X-quang cột sống cổ, góc Pavlov ratio nhỏ hơn bao nhiêu được coi là bất thường?",MultipleChoice,0.5,0.7,0.8,1.0,C,"Đo tỷ lệ khoảng đốt sống so với thân đốt","Góc Pavlov ratio < 0.8 gợi ý bất ổn định cột sống cổ."
"Dấu hiệu Snowstorm Appearance trên X-quang thường gặp trong bệnh lý nào?",MultipleChoice,Bệnh Huntington,Bệnh Paget của xương,Bệnh cò xương (Rickets),Loãng xương (Osteoporosis),B,"Hình ảnh xương bị thay đổi cấu trúc toàn bộ","Bệnh Paget gây ra sự thay thế xương bình thường bất thường."
"Đặc điểm nào trên X-quang giúp phân biệt gãy xương mới với gãy xương cũ đã liền?",MultipleChoice,Đường gãy sắc nét,Có Calhoun callus,Xương bị lệch trục,Mất vỏ xương tại chỗ gãy,B,"Callus xương hình thành khi xương đang liền","Calhoun callus là dấu hiệu xương đang trong quá trình liền."
"Thương tổn lamelar (Layered) hay Onion Skin trên CT scan thường gợi ý loại u nào?",MultipleChoice,Osteosarcoma,Ewing Sarcoma,Chondrosarcoma,Metastatic Disease,B,"Nhiều lớp xương mới xếp lớp","Onion Skin là dấu hiệu đặc trưng của Ewing Sarcoma."
"Trên X-quang ngực, sụn treo (Hanging Tomp) sign gợi ý bệnh lý gì?",MultipleChoice,Gãy xương sườn,Gãy mỏm vai (Clavicle),Trật khớp vai,Gãy xương ức,B,"Mảnh xương di lệch từ mỏm vai","Dấu hiệu này thường do gãy 1/3 ngoài xương đòn."
"Dấu hiệu Hill-Sachs defect trên X-quang thường gặp trong chấn thương nào?",MultipleChoice,Gãy xương đùi,Trật khớp vai,Kẹt khớp gối,Gãy cột sống,B,"Sụt lõm trên bề mặt đầu xương vai","Đây là tổn thương sụn xương do trật khớp vai trước."
